id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,category
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.170045,25336046957,8,25349808903,640287134.0,0.177121,0.169985,-0.006056889039791818,-3.43942,-916072952.3824921,-3.48952,149049146383.7052,149130106383.7052,,0.731578,-76.59665,2021-05-08T05:08:23.458Z,8.69e-05,196915.37332,2015-05-06T00:00:00.000Z,,2025-05-05T01:38:25.579Z,Memes
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.86,9103469607,14,13854010069,223740815.0,14.34,13.85,-0.4087855261486979,-2.86465,-274161579.3405266,-2.92357,657099970.4527868,1000000000.0,1000000000.0,52.7,-73.46461,2021-05-10T00:13:57.214Z,0.148183,9336.46125,2017-11-29T00:00:00.000Z,,2025-05-05T01:38:17.937Z,Inteligencia Artificial
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.263e-05,7446594388,20,7449809263,111734852.0,1.32e-05,1.264e-05,-3.63491061233e-07,-2.79713,-209959444.32349205,-2.74222,589249970789271.4,589504364282766.9,,8.616e-05,-85.22967,2021-10-28T03:54:55.568Z,5.6366e-11,22577067.63814,2020-11-28T11:26:25.838Z,,2025-05-05T01:38:21.802Z,Memes
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.002,5184143038,27,5184143038,112961022.0,1.002,0.998623,0.00164055,0.16402,-1740295.1570444107,-0.03356,5184993899.591616,5184993899.591616,,1.05,-4.74799,2024-08-05T14:21:42.527Z,0.942186,6.14773,2024-12-05T22:30:39.827Z,,2025-05-05T01:38:18.404Z,Inteligencia Artificial
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999873,3284713021,37,3284726603,61711960.0,1.0,0.999474,0.0002657,0.02658,18975854.0,0.58106,3285192327.707015,3285205912.174064,,1.22,-17.97939,2020-03-13T03:02:50.373Z,0.88196,13.35824,2023-03-11T07:50:50.514Z,,2025-05-05T01:38:18.963Z,Inteligencia Artificial
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,21.28,2613398039,46,6378778476,3860443.0,21.73,21.27,-0.4500593397608945,-2.07097,-57516461.55832195,-2.15344,122910587.76765741,300000000.0,,25.94,-17.44732,2025-01-25T03:07:37.823Z,0.25754,8214.69714,2020-03-13T02:18:02.481Z,,2025-05-05T01:38:26.630Z,Inteligencia Artificial
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.087411,2402612677,52,8515989493,16339629.0,0.09029,0.087334,-0.001764801294033197,-1.97902,-50444186.614911556,-2.05638,27510681379.13704,97510795572.90555,,0.965407,-90.91529,2021-11-24T15:53:54.855Z,0.0121196,623.65813,2019-02-08T00:00:00.000Z,,2025-05-05T01:38:23.798Z,Inteligencia Artificial
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02494475,2144888572,56,2144888572,27497120.0,0.02620886,0.02493488,-0.001072641980505197,-4.12279,-93696411.20612454,-4.18552,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.06062,2021-04-19T01:08:21.675Z,0.00191713,1210.23045,2020-03-13T02:29:59.652Z,"{'times': 3.8536300298542177, 'currency': 'eth', 'percentage': 385.36300298542176}",2025-05-05T01:38:24.355Z,Inteligencia Artificial
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.653265,1702029007,65,1773596869,93513082.0,0.692123,0.649478,-0.03353780017557706,-4.88318,-87649679.78508043,-4.89751,2604959126.672,2714493896.672,2714493896.672,3.45,-80.94971,2024-03-28T17:21:18.050Z,0.00816959,7954.56449,2020-03-13T02:24:18.347Z,"{'times': 6.534771735260995, 'currency': 'usd', 'percentage': 653.4771735260996}",2025-05-05T01:38:24.607Z,Inteligencia Artificial
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,1.001,899622911,97,899622911,33112752.0,1.004,0.998004,0.00046689,0.04667,792775.0,0.0882,898999999.839804,898999999.839804,,1.031,-2.98579,2024-03-05T20:15:29.285Z,0.942892,6.08589,2024-12-05T22:30:25.440Z,,2025-05-05T01:38:19.859Z,Inteligencia Artificial
